player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
cole-bassett,Cole Bassett,COMPRA ORA,26.3,"sconto 59% | trend in calo | partita tra 2.5gg, fuori finestra",https://sorare.com/it/football/players/cole-bassett,mlspa,in season,0.6306,Portland Timbers,Seattle Sounders FC (casa),30.4,48.0,55.0,55.0,3.14,7.6,13/15,58.66,down,3.58,9.19,2026-08-02T02:45:00Z,58.9,finestra gia' passata,2026-07-30T15:50:34+00:00,in_season
robert-lewandowski,Robert Lewandowski,COMPRA ORA,26.3,"sconto 51% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/robert-lewandowski,mlspa,in season,0.6133,Chicago Fire FC,Charlotte FC (casa),34.8,42.0,46.0,49.0,6.14,12.59,24/26,51.21,down,10.39,13.2,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:41+00:00,in_season
martin-exequiel-ojeda,Martín Ojeda,COMPRA ORA,26.1,"sconto 38% | trend sconosciuto | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/martin-exequiel-ojeda,mlspa,in season,0.5683,Orlando City SC,New York Red Bulls (trasferta),0.0,57.0,54.0,58.0,3.0,4.81,14/16,37.66,,,4.81,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:55+00:00,in_season
angus-gunn,Angus Gunn,COMPRA ORA,26.0,"sconto 46% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/angus-gunn,mlspa,in season,0.6105,San Jose Earthquakes,FC Cincinnati (trasferta),36.2,52.0,49.0,52.0,3.83,7.12,48/50,46.18,down,3.86,7.77,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:14+00:00,in_season
angus-gunn,Angus Gunn,COMPRA ORA,25.5,"sconto 31% | trend stabile | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/angus-gunn,mlspa,classic,0.6154,San Jose Earthquakes,FC Cincinnati (trasferta),36.2,52.0,49.0,52.0,3.5,5.11,15/17,31.44,flat,5.02,5.11,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:14+00:00,classic
timo-werner,Timo Werner,COMPRA ORA,25.3,"sconto 43% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/timo-werner,mlspa,in season,0.6319,San Jose Earthquakes,FC Cincinnati (trasferta),55.1,43.0,60.0,56.0,3.99,7.05,33/35,43.31,down,4.34,8.2,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:15+00:00,in_season
ethan-horvath,Ethan Horvath,COMPRA ORA,21.4,"sconto 30% | trend sconosciuto | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/ethan-horvath,mlspa,in season,0.5835,New York Red Bulls,Orlando City SC (casa),36.4,39.0,38.0,41.0,3.49,4.99,14/16,30.2,,,4.99,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:51+00:00,in_season
mathias-nicolas-laborda-malsenido,Mathias Laborda,COMPRA ORA,19.3,"sconto 34% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/mathias-nicolas-laborda-malsenido,mlspa,in season,0.5936,Vancouver Whitecaps FC,Los Angeles FC (casa),43.98,44.0,56.0,56.0,5.09,7.72,13/15,34.12,down,4.66,8.66,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:09+00:00,in_season
rafael-cabral-barbosa,Rafael Cabral,COMPRA ORA,18.8,"sconto 33% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/rafael-cabral-barbosa,mlspa,in season,0.5883,Real Salt Lake,St. Louis City SC (trasferta),43.2,45.0,50.0,50.0,3.0,4.5,21/23,33.4,down,2.53,5.38,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:19+00:00,in_season
antoine-griezmann,Antoine Griezmann,COMPRA ORA,18.2,"sconto 33% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/antoine-griezmann,mlspa,in season,0.6238,Orlando City SC,New York Red Bulls (trasferta),58.4,67.0,61.0,51.0,11.0,16.32,63/65,32.61,down,12.04,16.89,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:59+00:00,in_season
robert-lewandowski,Robert Lewandowski,COMPRA ORA,16.6,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/robert-lewandowski,mlspa,classic,0.566,Chicago Fire FC,Charlotte FC (casa),34.8,42.0,46.0,49.0,4.16,5.98,17/19,30.41,down,4.35,6.33,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:41+00:00,classic
daniel-de-sousa-brito,Daniel,COMPRA ORA,16.2,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/daniel-de-sousa-brito,mlspa,in season,0.5802,FC Dallas,LA Galaxy (trasferta),47.2,41.0,39.0,45.0,2.8,4.0,16/18,29.98,down,2.84,4.08,2026-08-02T02:30:00Z,58.7,finestra gia' passata,2026-07-30T15:50:21+00:00,in_season
paxten-aaronson,Paxten Aaronson,COMPRA ORA,16.1,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/paxten-aaronson,mlspa,in season,0.5822,Colorado Rapids,Austin FC (casa),38.4,61.0,52.0,54.0,4.2,5.98,29/31,29.74,down,5.08,6.28,2026-08-02T01:30:00Z,57.7,finestra gia' passata,2026-07-30T15:50:36+00:00,in_season
preston-judd,Preston Judd,COMPRA ORA,16.0,"sconto 30% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/preston-judd,mlspa,in season,0.5209,San Jose Earthquakes,FC Cincinnati (trasferta),0.0,51.0,59.0,51.0,3.99,5.67,15/17,29.66,down,3.82,6.26,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:12+00:00,in_season
yannick-bright,Yannick Bright,COMPRA ORA,15.4,"sconto 29% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/yannick-bright,mlspa,in season,0.5829,Inter Miami CF,Columbus Crew (casa),42.5,55.0,55.0,47.0,3.16,4.45,14/16,28.88,down,3.18,4.72,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:31+00:00,in_season
zavier-gozo,Zavier Gozo,buona occasione,14.4,"sconto 28% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/zavier-gozo,mlspa,in season,0.5742,Real Salt Lake,St. Louis City SC (trasferta),35.5,59.0,58.0,57.0,8.99,12.4,25/27,27.52,down,9.44,13.58,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:20+00:00,in_season
nouhou-tolo,Nouhou Tolo,buona occasione,13.8,"sconto 27% | trend in calo | partita tra 2.5gg, fuori finestra",https://sorare.com/it/football/players/nouhou-tolo,mlspa,in season,0.5783,Seattle Sounders FC,Portland Timbers (trasferta),41.12,57.0,56.0,52.0,4.99,6.82,31/33,26.76,down,5.0,7.11,2026-08-02T02:45:00Z,58.9,finestra gia' passata,2026-07-30T15:50:25+00:00,in_season
jack-mcglynn,Jack McGlynn,buona occasione,12.3,"sconto 25% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/jack-mcglynn,mlspa,in season,0.5653,Houston Dynamo FC,Sporting Kansas City  (trasferta),32.6,59.0,60.0,64.0,18.0,23.89,20/22,24.65,down,18.91,25.54,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:29+00:00,in_season
jesus-ferreira,Jesús Ferreira,buona occasione,11.8,"sconto 24% | trend in calo | partita tra 2.5gg, fuori finestra",https://sorare.com/it/football/players/jesus-ferreira,mlspa,in season,0.5668,Seattle Sounders FC,Portland Timbers (trasferta),40.3,47.0,59.0,53.0,3.78,4.97,18/20,23.97,down,4.02,5.03,2026-08-02T02:45:00Z,58.9,finestra gia' passata,2026-07-30T15:50:23+00:00,in_season
