player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
robert-lewandowski,Robert Lewandowski,COMPRA ORA,31.0,"sconto 49% | trend stabile | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/robert-lewandowski,mlspa,in season,0.6671,Chicago Fire FC,Charlotte FC (casa),34.8,42.0,46.0,49.0,6.14,11.96,23/25,48.66,flat,12.13,12.11,2026-08-02T00:30:00Z,55.0,finestra gia' passata,2026-07-30T17:32:57+00:00,in_season
cole-bassett,Cole Bassett,COMPRA ORA,26.3,"sconto 56% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/cole-bassett,mlspa,in season,0.6236,Portland Timbers,Seattle Sounders FC (casa),30.4,48.0,55.0,55.0,3.11,7.0,15/17,55.6,down,3.37,9.19,2026-08-02T02:45:00Z,57.2,finestra gia' passata,2026-07-30T17:33:49+00:00,in_season
rafael-cabral-barbosa,Rafael Cabral,COMPRA ORA,24.9,"sconto 42% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/rafael-cabral-barbosa,mlspa,in season,0.6071,Real Salt Lake,St. Louis City SC (trasferta),43.2,45.0,50.0,50.0,2.6,4.46,22/24,41.69,down,2.69,5.38,2026-08-02T00:30:00Z,54.9,finestra gia' passata,2026-07-30T17:33:33+00:00,in_season
angus-gunn,Angus Gunn,COMPRA ORA,23.3,"sconto 35% | trend stabile | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/angus-gunn,mlspa,classic,0.6292,San Jose Earthquakes,FC Cincinnati (trasferta),36.2,52.0,49.0,52.0,3.3,5.11,15/17,35.36,flat,5.02,5.11,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:28+00:00,classic
angus-gunn,Angus Gunn,COMPRA ORA,21.9,"sconto 49% | trend in calo | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/angus-gunn,mlspa,in season,0.617,San Jose Earthquakes,FC Cincinnati (trasferta),36.2,52.0,49.0,52.0,3.56,6.98,47/49,49.04,down,3.81,7.63,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:28+00:00,in_season
timo-werner,Timo Werner,COMPRA ORA,21.5,"sconto 47% | trend in calo | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/timo-werner,mlspa,in season,0.6395,San Jose Earthquakes,FC Cincinnati (trasferta),55.1,43.0,60.0,56.0,3.76,7.05,33/35,46.68,down,4.34,8.2,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:30+00:00,in_season
martin-exequiel-ojeda,Martín Ojeda,COMPRA ORA,21.5,"sconto 38% | trend sconosciuto | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/martin-exequiel-ojeda,mlspa,in season,0.5683,Orlando City SC,New York Red Bulls (trasferta),0.0,57.0,54.0,58.0,3.0,4.81,13/15,37.64,,,4.81,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:10+00:00,in_season
jesus-ferreira,Jesús Ferreira,COMPRA ORA,18.6,"sconto 33% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/jesus-ferreira,mlspa,in season,0.5878,Seattle Sounders FC,Portland Timbers (trasferta),40.3,47.0,59.0,53.0,3.32,4.97,18/20,33.22,down,4.02,5.03,2026-08-02T02:45:00Z,57.2,finestra gia' passata,2026-07-30T17:33:38+00:00,in_season
sam-surridge,Samuel Surridge,COMPRA ORA,16.8,"sconto 38% | trend in calo | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sam-surridge,mlspa,in season,0.5905,Nashville SC,DC United (trasferta),37.5,45.0,48.0,51.0,4.59,7.44,13/15,38.29,down,5.16,8.04,2026-08-01T23:30:00Z,54.0,finestra gia' passata,2026-07-30T17:32:46+00:00,in_season
robert-lewandowski,Robert Lewandowski,COMPRA ORA,16.5,"sconto 30% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/robert-lewandowski,mlspa,classic,0.5657,Chicago Fire FC,Charlotte FC (casa),34.8,42.0,46.0,49.0,4.17,5.98,17/19,30.27,down,4.15,6.22,2026-08-02T00:30:00Z,55.0,finestra gia' passata,2026-07-30T17:32:57+00:00,classic
daniel-de-sousa-brito,Daniel,COMPRA ORA,16.2,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/daniel-de-sousa-brito,mlspa,in season,0.5802,FC Dallas,LA Galaxy (trasferta),47.2,41.0,39.0,45.0,2.8,4.0,16/18,29.98,down,2.84,4.08,2026-08-02T02:30:00Z,56.9,finestra gia' passata,2026-07-30T17:33:36+00:00,in_season
mathias-nicolas-laborda-malsenido,Mathias Laborda,COMPRA ORA,14.5,"sconto 34% | trend in calo | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/mathias-nicolas-laborda-malsenido,mlspa,in season,0.5936,Vancouver Whitecaps FC,Los Angeles FC (casa),43.98,44.0,56.0,56.0,5.09,7.72,13/15,34.12,down,4.66,8.66,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:23+00:00,in_season
zavier-gozo,Zavier Gozo,COMPRA ORA,13.6,"sconto 26% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/zavier-gozo,mlspa,in season,0.5716,Real Salt Lake,St. Louis City SC (trasferta),35.5,59.0,58.0,57.0,9.0,12.23,24/26,26.38,down,9.43,13.42,2026-08-02T00:30:00Z,54.9,finestra gia' passata,2026-07-30T17:33:34+00:00,in_season
nouhou-tolo,Nouhou Tolo,COMPRA ORA,13.1,"sconto 26% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/nouhou-tolo,mlspa,in season,0.5759,Seattle Sounders FC,Portland Timbers (trasferta),41.12,57.0,56.0,52.0,5.0,6.73,30/32,25.72,down,5.0,7.03,2026-08-02T02:45:00Z,57.2,finestra gia' passata,2026-07-30T17:33:40+00:00,in_season
antoine-griezmann,Antoine Griezmann,COMPRA ORA,12.3,"sconto 30% | trend in calo | partita tra 54h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/antoine-griezmann,mlspa,in season,0.6182,Orlando City SC,New York Red Bulls (trasferta),58.4,67.0,61.0,51.0,11.0,15.75,62/64,30.15,down,9.68,16.62,2026-08-01T23:30:00Z,53.9,finestra gia' passata,2026-07-30T17:33:14+00:00,in_season
